text;from;to;moment
Comment puis je arriver à Fougères ;;Fougères;
J'aimerais aller à Guérande ;;Guérande;
Je souhaite me rendre à Houlgate ;;Houlgate;
Pourriez vous m'indiquer le chemin pour aller à Illkirch Graffenstaden ;;Illkirch Graffenstaden;
Je veux me rendre à Josselin ;;Josselin;
Comment puis je arriver à Kaysersberg ;;Kaysersberg;
J'aimerais aller à Larmor Plage ;;Larmor Plage;
Je souhaite me rendre à Molsheim ;;Molsheim;
Pourriez vous m'indiquer le chemin pour aller à Neuf Brisach ;;Neuf Brisach;
Je veux me rendre à Ondres ;;Ondres;
Comment puis je arriver à Paimpol ;;Paimpol;
J'aimerais aller à Quiberon ;;Quiberon;
Je souhaite me rendre à Rochefort ;;Rochefort;
Pourriez vous m'indiquer le chemin pour aller à Sète ;;Sète;
Je veux me rendre à Tournon sur Rhône ;;Tournon sur Rhône;
Comment puis je arriver à Urrugne ;;Urrugne;
J'aimerais aller à Valréas ;;Valréas;
Je souhaite me rendre à Wissembourg ;;Wissembourg;
Pourriez vous m'indiquer le chemin pour aller à Xertigny ;;Xertigny;
Je veux me rendre à Auxerre ;;Auxerre;
Comment puis je arriver à Brive la Gaillarde  ;;Brive la Gaillarde;
Je souhaite me rendre à Dieppe ;;Dieppe;
Pourriez vous m'indiquer le chemin pour aller à Étretat  ;;Étretat;
Je veux me rendre à Figeac ;;Figeac;
Comment puis je arriver à Guérande  ;;Guérande;
Je souhaite me rendre à Issoire ;;Issoire;
Pourriez vous m'indiquer le chemin pour aller à Josselin  ;;Josselin;
Je veux me rendre à Kaysersberg ;;Kaysersberg;
Comment puis je arriver à Lourdes  ;;Lourdes;
J'aimerais aller à Mende ;;Mende;
Je souhaite me rendre à Nogent sur Seine ;;Nogent sur Seine;
Pourriez vous m'indiquer le chemin pour aller à Oloron Sainte Marie  ;;Oloron Sainte Marie;
Je veux me rendre à Pézenas ;;Pézenas;
Comment puis je arriver à Quiberon  ;;Quiberon;
J'aimerais aller à Rochefort ;;Rochefort;
Je souhaite me rendre à Saint Malo ;;Saint Malo;
Pourriez vous m'indiquer le chemin pour aller à Thiers  ;;Thiers;
Je veux me rendre à Ussel ;;Ussel;
Comment puis je arriver à Villefranche sur Saône  ;;Villefranche sur Saône;
Pourriez vous m'indiquer le chemin pour aller à Yvetot  ;;Yvetot;
Comment puis je arriver à Alfortville  ;;Alfortville;
J'aimerais aller à Biscarrosse ;;Biscarrosse;
Je souhaite me rendre à Carpentras ;;Carpentras;
Pourriez vous m'indiquer le chemin pour aller à Dinard  ;;Dinard;
Je veux me rendre à Évreux ;;Évreux;
Comment puis je arriver à Forcalquier  ;;Forcalquier;
J'aimerais aller à Grasse ;;Grasse;
Je souhaite me rendre à Hyères ;;Hyères;
Pourriez vous m'indiquer le chemin pour aller à Ile Rousse  ;;Ile Rousse;
Je veux me rendre à Jonzac ;;Jonzac;
Comment puis je arriver à Kourou  ;;Kourou;
J'aimerais aller à Lagny sur Marne ;;Lagny sur Marne;
Je souhaite me rendre à Mâcon ;;Mâcon;
Je veux me rendre à Oyonnax ;;Oyonnax;
Comment puis je arriver à Périgueux  ;;Périgueux;
J'aimerais aller à Quimper ;;Quimper;
Je souhaite me rendre à Rambouillet ;;Rambouillet;
Pourriez vous m'indiquer le chemin pour aller à Saint Brieuc  ;;Saint Brieuc;
Je veux me rendre à Tulle ;;Tulle;
Comment puis je arriver à Uzès  ;;Uzès;
J'aimerais aller à Villeurbanne ;;Villeurbanne;
Je souhaite me rendre à Wimereux ;;Wimereux;
Pourriez vous m'indiquer le chemin pour aller à Xertigny  ;;Xertigny;
Je veux me rendre à Yssingeaux ;;Yssingeaux;
Comment puis je arriver à Zillisheim  ;;Zillisheim;
J'aimerais aller à Ajaccio ;;Ajaccio;
Je souhaite me rendre à Bastia ;;Bastia;
Pourriez vous m'indiquer le chemin pour aller à Calvi  ;;Calvi;
Je veux me rendre à Dax ;;Dax;
Comment puis je arriver à Épinal  ;;Épinal;
J'aimerais aller à Fontainebleau ;;Fontainebleau;
Je souhaite me rendre à Gérardmer ;;Gérardmer;
Pourriez vous m'indiquer le chemin pour aller à Hyères  ;;Hyères;
Je veux me rendre à Istres ;;Istres;
Comment puis je arriver à Joinville  ;;Joinville;
J'aimerais aller à Kintzheim ;;Kintzheim;
Je souhaite me rendre à Le Touquet Paris Plage ;;Le Touquet Paris Plage;
Je veux me rendre à Nice ;;Nice;
Comment puis je arriver à Orléans  ;;Orléans;
J'aimerais aller à Pau ;;Pau;
Je souhaite me rendre à Quiberon ;;Quiberon;
Pourriez vous m'indiquer le chemin pour aller à Rennes  ;;Rennes;
Je veux me rendre à Saint Malo ;;Saint Malo;
J'aimerais aller à Ussel ;;Ussel;
Je souhaite me rendre à Vichy ;;Vichy;
Pourriez vous m'indiquer le chemin pour aller à Wissembourg  ;;Wissembourg;
Je veux me rendre à Xonrupt Longemer ;;Xonrupt Longemer;
Comment puis je arriver à Yvetot  ;;Yvetot;
J'aimerais aller à Zuydcoote ;;Zuydcoote;
Je souhaite me rendre à Annecy ;;Annecy;
Pourriez vous m'indiquer le chemin pour aller à Biarritz  ;;Biarritz;
Je veux me rendre à Colmar ;;Colmar;
Je souhaite me rendre à Figeac ;;Figeac;
Pourriez vous m'indiquer le chemin pour aller à Guérande  ;;Guérande;
Je veux me rendre à Honfleur ;;Honfleur;
Comment puis je arriver à Issoire  ;;Issoire;
J'aimerais aller à Josselin ;;Josselin;
Je souhaite me rendre à Kaysersberg ;;Kaysersberg;
Pourriez vous m'indiquer le chemin pour aller à Lourdes  ;;Lourdes;
Je veux me rendre à Mende ;;Mende;
Comment puis je arriver à Nogent sur Seine  ;;Nogent sur Seine;
J'aimerais aller à Oloron Sainte Marie ;;Oloron Sainte Marie;
Je souhaite me rendre à Pézenas ;;Pézenas;
Je veux me rendre à Rochefort ;;Rochefort;
Comment puis je arriver à Saint Malo  ;;Saint Malo;
J'aimerais aller à Thiers ;;Thiers;
Pourriez vous m'indiquer le chemin pour aller à Villefranche sur Saône  ;;Villefranche sur Saône;
Émilie part de Strasbourg pour rejoindre son ami Paul à Toulouse ;Strasbourg;Toulouse;
Hugo voyage de Lyon à Paris pour passer des vacances avec son amie Charlotte ;Lyon;Paris;
Lucas se rend de Bordeaux à Marseille pour visiter sa famille ;Bordeaux;Marseille;
Claire prend le train de Nice à Lille pour assister à un concert ;Nice;Lille;
Marie part de Nantes pour se rendre à Angers et voir sa grand mère ;Nantes;Angers;
Thomas voyage de Montpellier à Lyon pour un voyage d'affaires ;Montpellier;Lyon;
Sophie se rend de Toulon à Bordeaux pour des vacances en famille ;Toulon;Bordeaux;
Antoine prend le train de Rennes à Strasbourg pour un congrès ;Rennes;Strasbourg;
Élise part de Clermont Ferrand pour rejoindre son ami Louis à Dijon ;Clermont Ferrand;Dijon;
Pierre voyage de Grenoble à Toulouse pour rendre visite à son frère ;Grenoble;Toulouse;
Emma se rend de Le Havre à Paris pour un rendez vous professionnel ;Le Havre;Paris;
Nicolas part de Nîmes pour rejoindre son amie Camille à Marseille ;Nîmes;Marseille;
Charlotte voyage de Caen à Bordeaux pour des vacances en bord de mer ;Caen;Bordeaux;
Paul se rend de Tours à Lyon pour assister à un festival de musique ;Tours;Lyon;
Margaux prend le train de Rouen à Lille pour rendre visite à sa cousine ;Rouen;Lille;
Julien part de Besançon pour rejoindre son ami Victor à Strasbourg ;Besançon;Strasbourg;
Éva voyage de Aix en Provence à Paris pour un séminaire ;Aix en Provence;Paris;
Maxime se rend de Metz à Lyon pour un entretien d'embauche ;Metz;Lyon;
Léa part de Avignon pour rejoindre son amie Manon à Montpellier ;Avignon;Montpellier;
David voyage de Marseille à Nantes pour des retrouvailles en famille ;Marseille;Nantes;
Comment rejoindre Marseille depuis Paris en train  en passant par Lyon et en évitant les correspondances  ;Paris;Marseille;
Quelle est la meilleure route à emprunter en voiture pour se rendre de Lyon à Nice  en évitant les routes à péage et en empruntant des chemins pittoresques  ;Lyon;Nice;
Quel est l'itinéraire le plus rapide pour voyager de Bordeaux à Toulouse en avion  en profitant d'un vol direct et en ayant un temps de connexion minimal  ;Bordeaux;Toulouse;
Puis je obtenir un itinéraire détaillé pour voyager de Lille à Nantes en bus  en passant par les villes de Reims et de Chartres  en incluant les arrêts et les horaires de départ et d'arrivée  ;Lille;Nantes;
Depuis Strasbourg  je souhaite me rendre à Genève en vélo en empruntant la route des vins d'Alsace et des vignes du Jura  Quelles sont les étapes incontournables de ce parcours  ;Strasbourg;Genève;
Je souhaite partir de Marseille pour une excursion en ferry à Monaco  en profitant d'une formule avec transport  déjeuner et visite guidée de la principauté  Quelles sont les options disponibles  ;Marseille;Monaco;
De Paris  j'aimerais voyager en train vers Londres en réservant mes billets en avance et en bénéficiant d'une offre promotionnelle pour les familles  Quel est le tarif le plus intéressant  ;Paris;Londres;
Depuis Lyon  je souhaite me rendre à Barcelone en avion avec un bagage en soute et en bénéficiant d'un tarif pour les jeunes voyageurs  Quelle est la durée du vol et quels sont les aéroports concernés  ;Lyon;Barcelone;
De la plage de Saint Tropez à la ville de Nice  quelle est la solution la plus pratique pour se déplacer en combinant transport en commun et transport maritime  ;Saint Tropez;Nice;
Depuis Marseille  je souhaite visiter les îles de Porquerolles et d'Île Rousse en bateau  Quels sont les horaires des départs et des retours  et quelles sont les compagnies maritimes disponibles  ;Marseille;Porquerolles;
De Lyon  je souhaite me rendre à Chamonix pour profiter des activités de montagne  Quel est le moyen de transport le plus rapide et le plus confortable pour rejoindre la station en hiver  ;Lyon;Chamonix;
De Lille  je souhaite me rendre à Lillebonne pour visiter les vestiges de l'ancienne cité romaine  Quel est l'itinéraire en train le plus direct et le plus économique  ;Lille;Lillebonne;
De Strasbourg  je souhaite voyager en train vers Colmar en profitant du charme des paysages alsaciens ;Strasbourg;Colmar;
Pour rejoindre Monaco depuis Marseille en bateau  quels sont les horaires et les tarifs des compagnies de ferries qui opèrent ce trajet  ;Marseille;Monaco;
De Paris  je souhaite me rendre à Londres en train en profitant d'un voyage de luxe avec des services premium  tels que des repas gastronomiques et des espaces spacieux  Quelles sont les options disponibles  ;Paris;Londres;
Les étoiles brillent dans le ciel nocturne ;;;
Les chiens sont d'excellents compagnons ;;;
Les roses sont de belles fleurs ;;;
La musique apaise l'âme ;;;
L'eau est essentielle à la vie ;;;
Les livres ouvrent de nouveaux mondes ;;;
Les montagnes sont majestueuses ;;;
La danse exprime l'émotion ;;;
Les avions traversent les cieux ;;;
Le chocolat fond dans la bouche ;;;
Les tortues sont des reptiles lents ;;;
Les émotions peuvent être complexes ;;;
Les arbres fournissent de l'ombre ;;;
La mer est infinie ;;;
Le rire est contagieux ;;;
Les étoiles filantes sont magiques ;;;
Les films racontent des histoires ;;;
Les nuages   flottent dans le ciel ;;;
Les rêves peuvent devenir réalité ;;;
Les étoiles de mer vivent dans l'océan ;;;
Les arcs en ciel sont colorés ;;;
Les montagnes russes sont excitantes ;;;
La cuisine est un art ;;;
Les animaux apportent de la joie ;;;
La neige recouvre tout en hiver ;;;
Les abeilles produisent du miel ;;;
La pluie nourrit la terre ;;;
Les sourires sont contagieux ;;;
La lune éclaire la nuit ;;;
Les écrans sont omniprésents ;;;
Les voyages élargissent les horizons ;;;
La patience est une vertu ;;;
Les étoiles scintillent en secret ;;;
Les c urs battent avec amour ;;;
Les arbres perdent leurs feuilles en automne ;;;
La créativité ne connaît pas de limites ;;;
Les rivières coulent paisiblement ;;;
Les enfants grandissent si vite ;;;
Les éruptions volcaniques sont puissantes ;;;
Les papillons enchantent les jardins ;;;
La technologie change le monde ;;;
Les fleurs parfument l'air ;;;
Les cerveaux sont fascinants ;;;
Les oiseaux migrateurs parcourent de longues distances ;;;
La lecture transporte l'esprit ;;;
Les énergies renouvelables sont importantes ;;;
Les étoiles nous guident dans l'obscurité ;;;
Les pingouins dansent le tango ;;;
Les nuages mangent des glaces ;;;
Les arbres chantent des chansons ;;;
Les poissons jouent au football ;;;
Les chapeaux volent en hiver ;;;
Les licornes boivent du jus de carotte ;;;
Les étoiles dansent le moonwalk ;;;
Les poupées jouent au poker ;;;
Les oiseaux font du tricot ;;;
Les chaussures parlent en latin ;;;
Les souris sautent à l'élastique ;;;
Les escargots font de la plongée sous marine ;;;
Les pommes volent vers la lune ;;;
Les vélos chantent des berceuses ;;;
Les éléphants font du patin à roulettes ;;;
Les cacahuètes construisent des châteaux ;;;
Les fourchettes jouent de la guitare ;;;
Les clowns nagent dans le désert ;;;
Les girafes conduisent des voitures ;;;
Les cafards organisent des mariages ;;;
Les ordinateurs dansent la samba ;;;
Les moutons sautent par dessus les avions ;;;
Les fleurs jouent aux échecs ;;;
Les éponges jouent au basket ball ;;;
Les pianos mangent des hamburgers ;;;
Les balais parlent en morse ;;;
Les carottes font du ski nautique ;;;
Les vaches font du surf ;;;
Les horloges écrivent des poèmes ;;;
Les clés volent comme des oiseaux ;;;
Les nuits cuisinent des pizzas ;;;
Les voitures tricotent des écharpes ;;;
Les tortues dansent le hip hop ;;;
Les crayons sautent à la corde ;;;
Les chaises parlent en russe ;;;
Les avocats jouent aux échecs ;;;
Les étagères font des blagues ;;;
Les cactus jouent au tennis ;;;
Les lumières chantent des opéras ;;;
Les échelles font de la gymnastique ;;;
Les écrans jouent au football américain ;;;
Les bulles de savon lisent des romans ;;;
Les étoiles font de la plongée libre ;;;
Les balles de ping pong organisent des réunions ;;;
Les sourcils dansent la valse ;;;
Les ombres jouent aux cartes ;;;
Les miroirs font du yoga ;;;
Les crayons à papier sautent en parachute ;;;
Les lunettes de soleil jouent au golf ;;;
Les nuages boivent du thé au gingembre ;;;
Les araignées font du saut à l'élastique ;;;
Les étoiles de mer font de la randonnée ;;;
Les avions font du yoga ;;;
Les coccinelles organisent des conférences ;;;
Les moutons jouent du saxophone ;;;
Les chaises dansent la salsa ;;;
Les gâteaux parlent en Morse ;;;
Les pingouins conduisent des camions ;;;
Les lunes jouent au cricket ;;;
Les bougies font de la plongée sous marine ;;;
Les nuages écrivent des poèmes ;;;
Les stylos jouent au billard ;;;
Les chèvres font de la danse contemporaine ;;;
Les éponges lisent des journaux ;;;
Les girafes jouent au basket ball ;;;
Les étoiles filantes tricotent des chaussettes ;;;
Les éléphants écrivent des romans ;;;
Les oranges pratiquent le karaté ;;;
Les tortues jouent au poker ;;;
Les nuits font des barbecues ;;;
Les poupées font du skateboard ;;;
Les tomates chantent des berceuses ;;;
Les voitures jouent du violon ;;;
Les horloges font de la natation synchronisée ;;;
Les étagères organisent des expositions d'art ;;;
Les chaussures font du jardinage ;;;
Les clowns pilotent des avions en papier ;;;
Les papillons dansent le breakdance ;;;
Les miroirs jouent au tennis de table ;;;
Les pianos font de la méditation ;;;
Les ballons jouent au bowling ;;;
Les sapins de Noël font du saut à ski ;;;
Les chapeaux parlent en espagnol ;;;
Les abeilles font du parapente ;;;
Les cafards organisent des soirées dansantes ;;;
Les crayons à papier font du parachutisme ;;;
Les fourchettes jouent au golf ;;;
Les robots font de la plongée libre ;;;
Les sourires font de l'équitation ;;;
Les escaliers font de la planche à voile ;;;
Les nuages dessinent des bandes dessinées ;;;
Les étoiles de mer organisent des mariages ;;;
Les montagnes russes font du tricot ;;;
Les écrans jouent aux échecs ;;;
Les hamburgers font de la gymnastique ;;;
Les fusées dansent la valse ;;;
Les baleines jouent à cache cache ;;;
Les voitures de course font de la poterie ;;;
Les ordinateurs jouent au football américain ;;;
Les flocons de neige chantent des opéras ;;;
Les étoiles dansent un tango cosmique sous un ciel en chocolat ;;;
Les licornes jouent au ping pong avec des arcs en ciel rebondissants ;;;
Les girafes organisent des soirées pyjama sur des montagnes russes en velours ;;;
Les nuages chantent des opéras avec des microphones en coton ;;;
Les escargots font des courses de chariots de supermarché dans des déserts de crème glacée ;;;
Les avions en papier font des conférences sur l'art de la sieste ;;;
Les chapeaux en caoutchouc naviguent sur des mers de limonade pétillante ;;;
Les poissons discutent de la philosophie des bulles d'air ;;;
Les arbres écrivent des poèmes dans des langues oubliées ;;;
Les pingouins font du surf sur des glaciers de menthe à la vanille ;;;
Les fourchettes organisent des tournois de lancer de petits pois ;;;
Les éléphants peignent des fresques murales avec leurs trompes ;;;
Les éponges discutent de l'université des éponges ;;;
Les clowns jonglent avec des confettis en apesanteur ;;;
Les poupées russes se racontent des histoires à l'infini ;;;
Les oiseaux répètent des discours politiques pour les écureuils curieux ;;;
Les coccinelles pratiquent la méditation en regardant des graines de pissenlit ;;;
Les robots jouent aux échecs avec des engrenages en chocolat ;;;
Les fleurs dansent le tango avec des abeilles déguisées en papillons ;;;
Les licornes se cachent derrière des arcs en ciel invisibles ;;;
Les baleines organisent des fêtes sous marines avec des sirènes insomniaques ;;;
Les bougies soufflent des bisous lumineux à la lune endormie ;;;
Les étoiles de mer font du tricot avec des fils d'électricité ;;;
Les avions font des loopings dans des ciels en caoutchouc ;;;
Les clowns jonglent avec des gâteaux en carton pâte ;;;
Les sapins de Noël chantent des chansons de Noël en juillet ;;;
Les chaises volent en formation dans des rêves de poupées ;;;
Les cactus organisent des soirées salsa pour les caméléons ;;;
Les nuits jouent au poker avec les étoiles en guise de jetons ;;;
Les horloges racontent des histoires de temps à des lapins pressés ;;;
Les nuages se transforment en dragons pour des combats aériens imaginaires ;;;
Les miroirs se regardent dans des reflets sans fin ;;;
Les crayons dessinent des portails vers des mondes parallèles ;;;
Les montagnes russes organisent des courses folles avec des montagnes enneigées ;;;
Les écrans projettent des rêves en technicolor pour les poèmes insomniaques ;;;
Les fusées spatiales organisent des pique niques sur Mars ;;;
Les escaliers grimpent vers des horizons inexplorés ;;;
Les fleurs se maquillent avec de la rosée matinale ;;;
Les pommes de terre dansent la valse avec des radis rouges ;;;
Les chauves souris jouent du saxophone sous la lueur de la lune ;;;
Les balais font du patin à glace sur des étangs de liquide vaisselle ;;;
Les éponges chantent des ballades marines pour les coquillages ;;;
Les étagères abritent des histoires secrètes de livres bavards ;;;
Les ordinateurs organisent des conférences sur l'intelligence artificielle avec des puzzles en bois ;;;
Les hamburgers méditent sur la signification de la vie dans des lacs de ketchup ;;;
Les étoiles de mer jonglent avec des coquillages acrobatiques ;;;
Les couteaux se battent en duel avec des fourchettes en plastique ;;;
Les lunettes de soleil jouent au poker avec des cartes de tarot ;;;
Les carottes chantent des chansons d'amour pour les lapins lunaires ;;;
Les moutons sautent à l'élastique avec des licornes en peluche ;;;
Les chaises volent vers des mondes en laine de mouton ;;;
Les araignées tricotent des hamacs pour les papillons ;;;
Les arc en ciel organisent des compétitions de saut à la corde avec des serpents ;;;
Les poissons jouent au football sous l'eau avec des balles en éponge ;;;
Les nuages écrivent des poèmes avec des stylos en étoiles filantes ;;;
Les arbres chantent des berceuses aux nuits insomniaques ;;;
Les éponges font du karaoké avec des savons à bulles ;;;
Les crayons dessinent des mondes parallèles sur des carnets de gâteaux ;;;
Les étoiles de mer organisent des pique niques interstellaires ;;;
Les avions en papier font du patin à glace sur des lacs de confiture ;;;
Les robots jouent aux échecs en apesanteur avec des pingouins cosmiques ;;;
Les girafes pratiquent le yoga avec des kangourous en méditation ;;;
Les éléphants jonglent avec des pommes de terre en équilibre ;;;
Les fleurs dansent la valse sur des mers de pétales en velours ;;;
Les clowns organisent des cours de jonglage pour les lions acrobatiques ;;;
Les étoiles chantent des sérénades aux arbres endormis ;;;
Les poupées russes jouent à cache cache dans des labyrinthes infinis ;;;
Les coccinelles organisent des courses de brouettes avec des escargots ;;;
Les horloges se parlent en morse avec des pendules en biscuit ;;;
Les montagnes russes organisent des séances photos avec des montagnes suisses ;;;
Les écrans projettent des rêves de papillons en apesanteur ;;;
Les sapins de Noël dansent la salsa avec des rennes en tutu ;;;
Les chaises se transforment en dragons pour des combats aériens imaginaires ;;;
Les cactus font du skateboard sur des dunes de sable ;;;
Les nuits se maquillent avec des étoiles en poudre de lune ;;;
Les étagères abritent des histoires secrètes de chaussures bavardes ;;;
Les escaliers grimpent vers des horizons infinis ;;;
Les pommes de terre chantent des chansons de sirènes sous l'eau ;;;
Les chauves souris organisent des soirées costumées avec des chapeaux magiques ;;;
Les balais font des acrobaties avec des serpillères en parachute ;;;
Les éponges jouent au poker avec des coquillages en perles ;;;
Les étoiles de mer jonglent avec des méduses électriques ;;;
Les couteaux se transforment en licornes pour des courses en arc en ciel ;;;
Les lunettes de soleil font du surf sur des vagues de soda ;;;
Les carottes pratiquent la méditation avec des lapins en lotus ;;;
Les moutons font des compétitions de saut à la corde avec des arc en ciel ;;;
Les araignées organisent des pique niques intergalactiques avec des extraterrestres ;;;
Les bougies font des concours de soufflage de bisous ;;;
Les poissons jouent au volley ball sous l'eau avec des étoiles de mer ;;;
Les nuages dansent le tango avec des montagnes russes en peluche ;;;
Les robots jonglent avec des satellites en orbite ;;;
Les girafes organisent des compétitions de saut en hauteur avec des kangourous ;;;
Les éléphants font des conférences sur l'art de la trompe ;;;
Les éponges se racontent des histoires de mer en écoutant des coquillages ;;;
Les clowns font du patin à glace avec des balais en plume ;;;
Les poupées russes organisent des mariages avec des boîtes à musique ;;;
Les coccinelles pratiquent le yoga avec des fourmis en méditation ;;;
Les montagnes russes dessinent des portraits avec des rails en crayon ;;;
Les écrans projettent des films de rêve avec des pixels en coton ;;;
Les sapins de Noël chantent des chants de Noël avec des rennes en bonbons ;;;
Papillon arc en ciel éclatant ;;;
Boum bam crash  ;;;
Fou rire étincelant ;;;
Tic tac toit rouillé ;;;
Bip bip zoom vroom ;;;
Glouglou plouf splash ;;;
Tic tac gling gling clochette ;;;
Aïe ouille bam ;;;
Chut chut silence ;;;
Hourra wouf miaou ;;;
Tintamarre brouhaha cacophonie ;;;
Chuchotement murmure silence ;;;
Vroum vroum vroom ;;;
Clic clac flash sourire ;;;
Frissons froid glacial ;;;
Hahaha ho ho hee hee ;;;
Zip zap zoup ;;;
Cris rires éclats ;;;
Hmmm slurp délice ;;;
Boum boom bang ;;;
Zut raté échec ;;;
Hé hé youpi  ;;;
Plouf glouglou splash ;;;
Tadaaa surprise magie ;;;
Hourra hourra youpi  ;;;
Toc toc toc toc toc toc ;;;
Patatras cataclysme désordre ;;;
Ding dong sonnette surprise ;;;
Youhou youpi hourra  ;;;
Boum boum c ur ;;;
Bip bip message éclair ;;;
Zut déception tristesse ;;;
Yee haw youpi hourra  ;;;
Ding ding clochette ;;;
Glouglou plouf eau ;;;
Hahaha haha rire ;;;
Ouch aïe douleur ;;;
Zip zip sifflement ;;;
Youpi youpi hourra  ;;;
Clic clic souris ;;;
Tic tac tic tac horloge ;;;
Miam délicieux festin ;;;
Youpi hourra youhou  ;;;
Bang boum explosion ;;;
Hé hé haha ;;;
Aïe aïe aïe douleur ;;;
Splash plouf eau ;;;
Bip bip téléphone ;;;
Tic tac tic tac montre ;;;
Youpi hourra wouf  ;;;
OK;;;
Youpi hourra hip hip hip  ;;;
Hahaha hee hee haha ;;;
Boum boum battement ;;;
Youhou hourra youpi  ;;;
Plouf glouglou eau ;;;
Zip zip sifflement aigu ;;;
Hourra youpi hourra  ;;;
Splash plouf éclaboussure ;;;
Hé hé haha youpi  ;;;
Bam bam choc brusque ;;;
Glou glou eau ruisselle ;;;
Tic tac tic tac tic ;;;
Chut chut chuchotement ;;;
Boum bam choc fracassant ;;;
Zip zip sifflement rapide ;;;
Vroum vroum moteur ;;;
Toc toc toc toc toc ;;;
Plouf splash éclaboussure ;;;
Clic clic souris ;;;
Hourra wouf miaou  ;;;
Oui;;;
Bah alors ;;;
Je vais à la montagne ;;;
Chien rapide;;;
Chat mignon;;;
Soleil brille;;;
Pluie douce;;;
Fleur colorée;;;
Livre épais;;;
Café chaud;;;
Voiture rapide;;;
Mer calme;;;
Montagne haute;;;
Ami fidèle;;;
Musique douce;;;
Pizza délicieuse;;;
Téléphone portable;;;
Étoiles brillantes;;;
Lune brillante;;;
Maison confortable;;;
Forêt dense;;;
Route sinueuse;;;
Vélo rouge;;;
Gâteau sucré;;;
Océan vaste;;;
Chaussures confortables;;;
Chemin boueux;;;
Enfant curieux;;;
Feu crépitant;;;
Arbres verts;;;
Cheval puissant;;;
Oiseau libre;;;
Sourire chaleureux;;;
Rire contagieux;;;
Bonheur éternel;;;
Joie sincère;;;
Tristesse profonde;;;
Peur intense;;;
Surprise totale;;;
Courage immense;;;
Effort constant;;;
Énergie infinie;;;
Rêve lointain;;;
Aventure excitante;;;
Voyage passionnant;;;
Plage déserte;;;
Pont ancien;;;
Bateau rapide;;;
Café fort;;;
Vin rouge;;;
Thé vert;;;
Cinéma silencieux;;;
Musée vide;;;
Art abstrait;;;
Danse gracieuse;;;
Hiver froid;;;
Été chaud;;;
Automne coloré;;;
Printemps fleuri;;;
Rivières calmes;;;
Cascade puissante;;;
Éclairage tamisé;;;
Nuit étoilée;;;
Matin frais;;;
Soirée agréable;;;
Aube brumeuse;;;
Crépuscule orangé;;;
Table vide;;;
Chaise confortable;;;
Télévision silencieuse;;;
Ordinateur lent;;;
Smartphone brillant;;;
Vêtements élégants;;;
Sac lourd;;;
Montre précise;;;
Bijoux scintillants;;;
Appareil photo;;;
Peinture abstraite;;;
Sculpture moderne;;;
Poésie douce;;;
Roman passionnant;;;
Restaurant chic;;;
Parc calme;;;
Supermarché bondé;;;
Marché animé;;;
Centre ville bruyant;;;
Banlieue tranquille;;;
Métro bondé;;;
Train rapide;;;
Bus bruyant;;;
Avion rapide;;;
Bateau lent;;;
Hôtel luxueux;;;
Chalet rustique;;;
Tente confortable;;;
Feu de camp;;;
Barbecue savoureux;;;
Pique nique joyeux;;;
Anniversaire surprise;;;
Mariage élégant;;;
Réunion importante;;;
Cérémonie solennelle;;;
Diplôme mérité;;;
Chien noir rapide;;;
Chaton mignon roux;;;
Soleil brille haut;;;
Pluie douce persiste;;;
Fleur colorée épanouie;;;
Livre épais passionnant;;;
Café chaud réconfortant;;;
Voiture rapide rouge;;;
Mer calme sereine;;;
Montagne haute majestueuse;;;
Ami fidèle loyal;;;
Musique douce apaisante;;;
Pizza délicieuse garnie;;;
Téléphone portable moderne;;;
Étoiles brillantes scintillantes;;;
Lune brillante dansante;;;
Maison confortable accueillante;;;
Forêt dense mystérieuse;;;
Route sinueuse pittoresque;;;
Vélo rouge rapide;;;
Gâteau sucré délicieux;;;
Océan vaste infini;;;
Chaussures confortables légères;;;
Chemin boueux glissant;;;
Enfant curieux intelligent;;;
Feu crépitant chaleureux;;;
Arbres verts majestueux;;;
Cheval puissant galopant;;;
Oiseau libre élégant;;;
Sourire chaleureux sincère;;;
Rire contagieux joyeux;;;
Bonheur éternel recherché;;;
Joie sincère partagée;;;
Tristesse profonde insurmontable;;;
Peur intense paralysante;;;
Surprise totale inattendue;;;
Courage immense face;;;
Effort constant récompensé;;;
Énergie infinie dépensée;;;
Rêve lointain accompli;;;
Aventure excitante attendue;;;
Voyage passionnant prévu;;;
Plage déserte paisible;;;
Pont ancien historique;;;
Bateau rapide navigue;;;
Café fort aromatique;;;
Vin rouge corsé;;;
Thé vert apaisant;;;
Cinéma silencieux ancien;;;
Musée vide tranquille;;;
Art abstrait complexe;;;
Danse gracieuse envoûtante;;;
Hiver froid glacial;;;
Été chaud ensoleillé;;;
Automne coloré éclatant;;;
Printemps fleuri revigorant;;;
Rivières calmes serpentinantes;;;
Cascade puissante majestueuse;;;
Éclairage tamisé romantique;;;
Nuit étoilée paisible;;;
Matin frais vivifiant;;;
Soirée agréable détendue;;;
Aube brumeuse mystique;;;
Crépuscule orangé apaisant;;;
Table vide impeccable;;;
Chaise confortable rembourrée;;;
Télévision silencieuse éteinte;;;
Ordinateur lent obsolète;;;
Smartphone brillant innovant;;;
Vêtements élégants chics;;;
Sac lourd chargé;;;
Montre précise suisse;;;
Bijoux scintillants éblouissants;;;
Appareil photo professionnel;;;
Peinture abstraite intrigante;;;
